Earth_vx,Earth_vy,Sun_vx,Sun_vy
-509.7293545946785,0.001530469434710619,29775.62791595351,1.3127242798201805e-05
-1019.3080764035526,0.0030604865923992046,29762.512972352473,5.250504228809593e-05
-1528.5855788586891,0.004589599334813522,29740.65909439117,0.0001181216130195766
-2037.4113678116905,0.0061173558011922684,29710.07282265694,0.00020995731678871596
-2545.6350877029518,0.007643304546888907,29670.763311026094,0.00032798466895534557
-3053.1065676823273,0.009166994681849608,29622.74232371935,0.0004721683472840892
-3559.675867665051,0.010687976008896781,29566.02423151806,0.0006424652033052692
-4065.1933243067797,0.012205799161769785,29500.62600714266,0.0008388242761910882
-4569.509596881676,0.0137200157428745,29426.567219795317,0.001061186809141476
-5072.475713047489,0.015230178460693624,29343.870028868903,0.0013094862682729758
-5573.943114481663,0.016735841266809708,29252.55917682485,0.0015836483640030386
-6073.763702372538,0.018236559492493122,29152.661981242796,0.0018835910749210936
-6571.7898827498175,0.019731889984807408,29044.208326045213,0.0022092246741367587
-7067.874611638518,0.021221391242184647,28927.23065190052,0.002560451758094574
-7561.871440020745,0.02270462354942379,28801.76394580861,0.0029371672778436505
-8053.634558589687,0.024181149112065183,28667.845729872904,0.0033392585727496475
-8543.018842280379,0.025650532190094753,28525.516049263555,0.0037666054066355353
-9029.879894561833,0.02711233923093178,28374.817459376503,0.004219080006336624
-9514.074091475311,0.028566139001654403,28215.79501219364,0.004696547102654401
-9995.458625403604,0.030011502720417485,28048.49624184948,0.005198863973692777
-10473.891548556314,0.03144800418701778,27872.971149410143,0.0057258804905593996
-10949.231816156302,0.032875219912561836,27689.27218687073,0.006277439165413789
-11421.339329312583,0.03429272924819246,27497.454240377432,0.0068533752018431395
-11890.07497756511,0.03570011451283001,27297.57461268111,0.007453516547545722
-12355.300681087054,0.03709696111988534,27089.693004829278,0.008077683949300947
-12816.879432530366,0.03848285770290166,26873.871497103763,0.008725691010204302
-13274.67533850054,0.039857396240083096,26650.174529211603,0.009397344249144462
-13728.553660646709,0.04122017217766827,26418.668879736993,0.010092443162499102
-14178.380856353395,0.04257078455210785,26179.423644862396,0.010810780288025049
-14624.024619020405,0.04390883611100548,25932.51021636719,0.011552141270917643
-15065.353917917562,0.04523393343278216,25678.002258912507,0.012316304932013356
-15502.23903760118,0.046545687045024785,25415.97568662113,0.013103043338108945
-15934.551616879402,0.04784371154148006,25146.50863896163,0.013912121874369649
-16362.164687313698,0.04912762569765583,24869.681455946167,0.014743299318798185
-16784.9527112441,0.05039705258499235,24585.576652651544,0.015596327918735588
-17202.791619325893,0.05165161968356675,24294.27889307346,0.016470953469364193
-17615.558847565833,0.05289095899329471,23995.874963324055,0.01736691539418241
-18023.13337384603,0.05411470714359403,23690.453744183073,0.018283946827420187
-18425.39575392404,0.055322505501475314,23378.106183013235,0.01922177469836351
-18822.228156897832,0.05651400027802608,23058.925265050588,0.020180119817555527
-19213.51440012461,0.057688842633255,22733.00598408081,0.021158696964841354
-19599.139983582696,0.05884668877926389,22400.44531251265,0.022157214979222975
-19978.99212366592,0.05998720008171589,22061.34217085989,0.02317537685049007
-20352.959786400275,0.061110043159568854,21715.7973966434,0.024212879812592066
-20720.93372007276,0.062214889983044,21363.913712724996,0.0252694154387161
-21082.80648726274,0.06330141796980045,21005.795695085068,0.026344669738035186
-21438.47249626626,0.06436931007928715,20641.549740056027,0.027438323254090204
-21787.828031904148,0.06541825490524465,20271.284031023853,0.028550051164769004
-22130.77128570496,0.06644794676632983,19895.10850461011,0.029679523383845358
-22467.20238545406,0.06745808579483742,19513.134816346992,0.030826404664040106
-22797.02342410053,0.06844837802349339,19125.476305858087,0.03199035470156638
-23120.138488013727,0.06941853547029561,18732.247961557685,0.03317102824212043
-23436.453684581676,0.07036827622137846,18333.56638488157,0.03436807518827919
-23745.8771691438,0.07129732451187872,17929.54975406236,0.03558114070826529
-24048.319171250685,0.07220541080478082,17520.31778746255,0.03680986534604008
-24343.69202024391,0.07309227186772077,17105.991706478617,0.03805388513268465
-24631.910170149302,0.07395765084772832,16686.694198029454,0.03931283169902874
-24912.890223877155,0.07480129734388857,16262.549376642713,0.04058633238948707
-25186.550956723353,0.07562296747790441,15833.682746152524,0.04187401037706244
-25452.81333916556,0.07642242396254235,15400.221161022288,0.04317548477947459
-25711.600558948965,0.07719943616794532,14962.29278730621,0.04449037077637374
-25962.838042456293,0.07795378018579639,14520.027063263358,0.04581827972759742
-26206.4534753572,0.07868523889131888,14073.554659638046,0.04715881929242918
-26442.376822532347,0.07939360200309865,13623.007439620449,0.04851159354981737
-26670.540347267775,0.08007866614071553,13168.518418501335,0.04987620311951237
-26890.87862971553,0.08074023488017154,12710.221723034887,0.05125224528408032
-27103.328584616727,0.08137811880710465,12248.252550523584,0.05263931411175126
-27307.82947828352,0.08199213556777737,11782.747127639157,0.054037000580059856
-27504.32294483677,0.08258210991783067,11313.842668993639,0.055444892700236344
-27692.75300169651,0.08314787376879415,10841.677335474542,0.05686257564230575
-27873.066064322455,0.08368926623234474,10366.390192358198,0.05828963186085316
-28045.21096020228,0.08420613366230668,9888.121167215308,0.05972564122141291
-28209.13894208551,0.08469832969438644,9407.011007622714,0.06117018112743954
-28364.803700461198,0.08516571528363713,8923.201238695416,0.06262282664781854
-28512.161375277898,0.08560815873964786,8436.834120452826,0.06408315064487473
-28651.1705669046,0.08602553575945412,7948.052605033229,0.06555072390283644
-28781.792346331662,0.08641772945816627,7457.0002937703775,0.06702511525671363
