time,body0_x,body0_y,body0_z,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z
0.0,359.83554048,0.0,0.0,99900902288.61946,3147994724.395071,0.0,149955955133.3776,2639446929.247095,0.0
86400.0,1079.6433654728276,9.802898259868341,0.0,99702657871.67844,6292865178.252852,0.0,149867859997.53647,5278118536.1037035,0.0
172800.0,2159.2740538323606,39.22798081198101,0.0,99405316520.23976,9431480915.453327,0.0,149735724261.14572,7915239154.706165,0.0
259200.0,3598.290629645996,98.10217949368693,0.0,99009027307.05412,12560708451.676817,0.0,149559572680.4727,10550033115.88926,0.0
345600.0,5395.967447498949,196.25122716354295,0.0,98514039043.02885,15677414441.961916,0.0,149339445106.35605,13181725088.083256,0.0
432000.0,7551.289359728273,343.4907187946611,0.0,97920700610.90894,18778468895.28662,0.0,149075396481.79114,15809540418.62986,0.0
518400.0,10062.951172548437,549.6170876194656,0.0,97229461193.44742,21860748422.831947,0.0,148767496830.1128,18432705475.20819,0.0
604800.0,12929.35739764222,824.3985059766694,0.0,96440870393.44366,24921139516.399685,0.0,148415831233.77423,21050447987.060123,0.0
691200.0,16148.622305490322,1177.565720981249,0.0,95555578243.14288,27956541853.270287,0.0,148020499803.73303,23661997385.702866,0.0
777600.0,19718.570286360136,1618.802835599441,0.0,94574335100.61787,30963871623.60424,0.0,147581617639.46802,26266585144.81596,0.0
864000.0,23636.736524488595,2157.738046161081,0.0,93497991430.89563,33940064876.31125,0.0,147099314779.66278,28863445118.989697,0.0
950400.0,27900.367990575895,2803.9343477786456,0.0,92327497469.74527,36882080879.13711,0.0,146573736143.6036,31451813881.022537,0.0
1036800.0,32506.424757256507,3566.88021956384,0.0,91063902768.21193,39786905488.5492,0.0,146005041463.3514,34030931057.456463,0.0
1123200.0,37451.58164173157,4455.980301936079,0.0,89708355616.16109,42651554524.83897,0.0,145393405206.7581,36600039662.04118,0.0
1209600.0,42732.23017923312,5480.546078700414,0.0,88262102343.29121,45473077147.70449,0.0,144739016491.40985,39158386426.82097,0.0
1296000.0,48344.480930446356,6649.786576932896,0.0,86726486496.27795,48248559227.429405,0.0,144042078989.59048,41705222130.541336,0.0
1382400.0,54284.1661254424,7972.799098046696,0.0,85102947890.9302,50975126706.63686,0.0,143302810824.3688,44239801924.07697,0.0
1468800.0,60546.84264607163,9458.559993720122,0.0,83393021538.46735,53649948947.469925,0.0,142521444456.92535,46761385652.58719,0.0
1555200.0,67127.79534813814,11115.915500645691,0.0,81598336445.26639,56270242058.933846,0.0,141698226565.24426,49269238174.11044,0.0
1641600.0,74022.04072402109,12953.572648305273,0.0,79720614285.67807,58833272199.0319,0.0,140833417914.30634,51762629674.315575,0.0
1728000.0,81224.33090572932,14980.090254187944,0.0,77761667947.77036,61336358846.23576,0.0,139927293217.9305,54240835977.13375,0.0
1814400.0,88729.15800767517,17203.87002104235,0.0,75723399952.12675,63776878034.75488,0.0,138980140992.42004,56703138851.00212,0.0
1900800.0,96530.75880773239,19633.147750892094,0.0,73607800744.1033,66152265548.007454,0.0,137992263402.18073,59148826310.45748,0.0
1987200.0,104623.11976440475,22275.984690639227,0.0,71416946860.23257,68460020064.64955,0.0,136963976097.4872,61577192912.82614,0.0
2073600.0,112999.98236717876,25140.25902413519,0.0,69152998969.753,70697706251.48897,0.0,135895608044.58327,63987540049.7642,0.0
2160000.0,121654.8488163679,28233.6575256096,0.0,66818199792.53798,72862957797.59772,0.0,134787501348.31085,66379176233.411095,0.0
2246400.0,130580.98802798023,31563.66738931301,0.0,64414871894.9986,74953480383.9417,0.0,133640011067.47086,68751417376.92805,0.0
2332800.0,139771.44195835927,35137.56825014951,0.0,61945415365.83746,76967054582.86888,0.0,132453505023.12721,71103587069.20227,0.0
2419200.0,149219.032242562,38962.42440994761,0.0,59412305373.83541,78901538681.83861,0.0,131228363600.07341,73435016843.50702,0.0
2505600.0,158916.3671396514,43045.07728384241,0.0,56818089610.15888,80754871425.83469,0.0,129964979541.68777,75745046439.91776,0.0
