time,flux,flux_noisy
0,0.9998324708514995,0.99974046816692
86400,1.0,0.9997650557038411
172800,1.0,1.0000196176878713
259200,1.0,0.9999817520253552
345600,1.0,1.0001635824551927
432000,1.0,1.0002195285602233
518400,1.0,1.0000038087816525
604800,1.0,1.0000603403490187
691200,1.0,1.0000270862329428
777600,1.0,0.9998984589144886
864000,1.0,1.000064759191497
950400,1.0,0.9999101053936756
1036800,1.0,1.0000440042238876
1123200,1.0,1.0001031053602927
1209600,1.0,0.9998658553411739
1296000,1.0,0.9999361652045091
1382400,1.0,1.0000252264759941
1468800,1.0,0.9999867695159448
1555200,1.0,0.9999476863807311
1641600,1.0,0.9998628220848855
1728000,1.0,1.0000670689834503
1814400,1.0,1.0000696301031522
1900800,1.0,1.0000423976365487
1987200,1.0,1.000026175006016
2073600,1.0,0.9999015085401389
2160000,1.0,1.0001496581362064
2246400,1.0,1.0000330402685047
2332800,1.0,1.0000469802378396
2419200,1.0,1.0000821078019957
2505600,1.0,1.0002009592663876
2592000,1.0,1.0000413281571627
2678400,1.0,1.0000851589161042
2764800,1.0,1.000010055374851
2851200,1.0,0.9997633549743296
2937600,1.0,0.9999704071820025
3024000,1.0,0.9999147864613245
3110400,1.0,1.0001368854123835
3196800,1.0,0.999965213673363
3283200,1.0,1.0000279282720728
3369600,1.0,1.0002009315851121
3456000,1.0,0.9999859628801516
3542400,1.0,1.0000461650417654
3628800,1.0,1.0000810222749859
3715200,1.0,1.0000404635292244
3801600,1.0,1.0000782648748316
3888000,1.0,1.0000096300319303
3974400,1.0,1.0000693021696552
4060800,1.0,0.9999117549306693
4147200,1.0,0.9999639136558501
4233600,1.0,1.0000109128912205
4320000,1.0,1.0000830367872167
4406400,1.0,1.0001007092189411
4492800,1.0,1.000047699346434
4579200,1.0,0.9999622336038692
4665600,1.0,0.9999347150833658
4752000,1.0,1.0002226398864662
4838400,1.0,1.0001129073345083
4924800,1.0,0.9997943921546937
5011200,1.0,0.9997010821715853
5097600,1.0,0.9999752076555267
5184000,1.0,0.9998657485069886
